site_name,company_name,link,latitude,longitude,address,homepage,phone,sales_phone,email,sales_email,opening_hours,site_type,id,image_path
Sablières de Garonne (SA),,https://www.google.com/maps/place/Sabli%C3%A8res+de+Garonne+%28SA%29/data=!4m7!3m6!1s0x12ae98d6383af18d:0x251e589024f4dbdb!8m2!3d43.6971163!4d1.5585078!16s%2Fg%2F113fwy6tr!19sChIJjfE6ONaYrhIR29v0JJBYHiU?authuser=0&amp;hl=en&amp;rclk=1,43.6971,1.5585,"Route Albi Rn 88, 31380 Garidech, France",,#ERROR!,,,,,Quarry,86abad94-7220-4803-984c-56907251b417,data/images/train/86abad94-7220-4803-984c-56907251b417_43.6971_1.5585.png
Sematec Negrepelisse,,https://www.google.com/maps/place/Sematec+Negrepelisse/data=!4m7!3m6!1s0x12ac3f9540eb76b3:0xf5c060eceaad408f!8m2!3d44.0781376!4d1.5631599!16s%2Fg%2F11kpdg9884!19sChIJs3brQJU_rBIRj0Ct6uxgwPU?authuser=0&amp;hl=en&amp;rclk=1,44.0781,1.5632,"3HH7+77, 82800 Nègrepelisse, France",,,,,,,Quarry,6d0b9177-929f-447b-a4fb-40e7ba6a5fa2,data/images/train/6d0b9177-929f-447b-a4fb-40e7ba6a5fa2_44.0781_1.5632.png
Carrières de la Grésigne,,https://www.google.com/maps/place/Carri%C3%A8res+de+la+Gr%C3%A9signe/data=!4m7!3m6!1s0x12ac4718c517ba1d:0xf094b2db5705c942!8m2!3d44.1171572!4d1.6195332!16s%2Fg%2F1tfsw6z_!19sChIJHboXxRhHrBIRQskFV9uylPA?authuser=0&amp;hl=en&amp;rclk=1,44.1172,1.6195,"82800 Montricoux, France",,#ERROR!,,,,,Quarry,3a1e0d39-25e5-4f27-a5b4-1dd3d29df8a4,data/images/train/3a1e0d39-25e5-4f27-a5b4-1dd3d29df8a4_44.1172_1.6195.png
Lasbordes Frères,,https://www.google.com/maps/place/Lasbordes+Fr%C3%A8res/data=!4m7!3m6!1s0x12acd22b11d57ce5:0xd7dd0cbcb1e0525b!8m2!3d44.9156!4d1.713135!16s%2Fg%2F1tg96m0z!19sChIJ5XzVESvSrBIRW1LgsbwM3dc?authuser=0&amp;hl=en&amp;rclk=1,44.9156,1.7131,"La Pasquie, 46110 Carennac, France",,#ERROR!,,,,,Quarry,5cd74eef-dbae-4275-a3cc-d1474ee56f9f,data/images/train/5cd74eef-dbae-4275-a3cc-d1474ee56f9f_44.9156_1.7131.png
Sourzat Ets,,https://www.google.com/maps/place/Sourzat+Ets/data=!4m7!3m6!1s0x12accd2a0a5faa59:0xe6c074164dcaf9c5!8m2!3d44.98475!4d1.637198!16s%2Fg%2F1tcx3kqf!19sChIJWapfCirNrBIRxfnKTRZ0wOY?authuser=0&amp;hl=en&amp;rclk=1,44.9847,1.6372,"Maledène, 46110 Strenquels, France",carriere-sourzat.fr,#ERROR!,,,,,Quarry,d2537e5b-0446-482d-878a-89f0a99cc83d,data/images/train/d2537e5b-0446-482d-878a-89f0a99cc83d_44.9847_1.6372.png
Sarl SEGUY TP carriere de vaylats,,https://www.google.com/maps/place/Sarl+SEGUY+TP+carriere+de+vaylats/data=!4m7!3m6!1s0x12ac5f48d7283fc7:0x228f850e1ca1caa1!8m2!3d44.3356126!4d1.6250549!16s%2Fg%2F11txvmhgyf!19sChIJxz8o10hfrBIRocqhHA6FjyI?authuser=0&amp;hl=en&amp;rclk=1,44.3356,1.6251,"46230 Lalbenque, France",,,,,,,Quarry,ac68c3f7-fbc9-4c29-9d38-cb9eb830992b,data/images/train/ac68c3f7-fbc9-4c29-9d38-cb9eb830992b_44.3356_1.6251.png
Carrière MTE,,https://www.google.com/maps/place/Carri%C3%A8re+MTE/data=!4m7!3m6!1s0x12acd3c56b36097b:0x81fe3b427e0df91!8m2!3d44.9082898!4d1.7212651!16s%2Fg%2F11hplw9fgk!19sChIJewk2a8XTrBIRkd_gJ7TjHwg?authuser=0&amp;hl=en&amp;rclk=1,44.9083,1.7213,"Le Begoux, 46110 Carennac, France",,,,,,,Quarry,9888faa7-3e71-456b-9ae7-bde17829d570,data/images/train/9888faa7-3e71-456b-9ae7-bde17829d570_44.9083_1.7213.png
S.T.A.P Société Travaux Agricole et Public,,https://www.google.com/maps/place/S.T.A.P+Soci%C3%A9t%C3%A9+Travaux+Agricole+et+Public/data=!4m7!3m6!1s0x12ad1e32bed5e6dd:0x68840a03b6ac3921!8m2!3d44.6286337!4d1.8345027!16s%2Fg%2F1vz85wgm!19sChIJ3ebVvjIerRIRITmstgMKhGg?authuser=0&amp;hl=en&amp;rclk=1,44.6286,1.8345,"Les Grézals, 46320 Livernon, France",stap-calmejane-travaux-publics.fr,#ERROR!,,,,,Quarry,4be69e3f-d188-4d2a-87a4-430102345dad,data/images/train/4be69e3f-d188-4d2a-87a4-430102345dad_44.6286_1.8345.png
Socal Société des Carrières du Lauragais,,https://www.google.com/maps/place/Socal+Soci%C3%A9t%C3%A9+des+Carri%C3%A8res+du+Lauragais/data=!4m7!3m6!1s0x12ae434ee090d577:0xade7474d086db8ff!8m2!3d43.396445!4d1.9985221!16s%2Fg%2F1tcthn8x!19sChIJd9WQ4E5DrhIR_7htCE1H560?authuser=0&amp;hl=en&amp;rclk=1,43.3964,1.9985,"Engay, 11400 Labécède-Lauragais, France",,#ERROR!,,,,,Quarry,a41e3f4b-2001-44c4-8f47-e4731aa1780b,data/images/train/a41e3f4b-2001-44c4-8f47-e4731aa1780b_43.3964_1.9985.png
Saint-Gobain Terréal,,https://www.google.com/maps/place/Saint-Gobain+Terr%C3%A9al/data=!4m7!3m6!1s0x12ae45987da1976d:0x2d330bc1aeb28016!8m2!3d43.3847505!4d1.9989642!16s%2Fg%2F1wcj_ybr!19sChIJbZehfZhFrhIRFoCyrsELMy0?authuser=0&amp;hl=en&amp;rclk=1,43.3848,1.999,"Chem. d'Issel, 11400 Labécède-Lauragais, France",,#ERROR!,,,,,Quarry,1947e105-f4e5-42fe-a23e-4560447d2bdb,data/images/train/1947e105-f4e5-42fe-a23e-4560447d2bdb_43.3848_1.999.png
Carrière Terreal Saint Papoul,,https://www.google.com/maps/place/Carri%C3%A8re+Terreal+Saint+Papoul/data=!4m7!3m6!1s0x12ae45b08cfa4c27:0x2f36557482049216!8m2!3d43.3414993!4d2.0396668!16s%2Fg%2F11bz_zb7pk!19sChIJJ0z6jLBFrhIRFpIEgnRVNi8?authuser=0&amp;hl=en&amp;rclk=1,43.3415,2.0397,"11400 Saint-Papoul, France",,,,,,,Quarry,dcb4ba93-3296-4618-b277-89ea8004952e,data/images/train/dcb4ba93-3296-4618-b277-89ea8004952e_43.3415_2.0397.png
Les Carrières de Roquetaillade,,https://www.google.com/maps/place/Les+Carri%C3%A8res+de+Roquetaillade/data=!4m7!3m6!1s0x12afc89a6f19cd71:0xcf32bf9fb346737f!8m2!3d43.0074134!4d2.1974119!16s%2Fg%2F1tfdw0c2!19sChIJcc0Zb5rIrxIRf3NGs5-_Ms8?authuser=0&amp;hl=en&amp;rclk=1,43.0074,2.1974,"Peyret, 11300 Roquetaillade-et-Conilhac, France",,,,,,,Quarry,b4243a5f-785d-49f9-a0d5-62f8ae177f41,data/images/train/b4243a5f-785d-49f9-a0d5-62f8ae177f41_43.0074_2.1974.png
Gatimel et Fils,,https://www.google.com/maps/place/Gatimel+et+Fils/data=!4m7!3m6!1s0x12ae11e87efe7e11:0xd74f875a5366482d!8m2!3d43.6059008!4d2.2414053!16s%2Fg%2F1td1xtl2!19sChIJEX7-fugRrhIRLUhmU1qHT9c?authuser=0&amp;hl=en&amp;rclk=1,43.6059,2.2414,"16 Rue des 3 Rois, 81100 Castres, France",,#ERROR!,,,,,Quarry,5355fd1e-8cfe-40b1-b87d-da7835393f22,data/images/train/5355fd1e-8cfe-40b1-b87d-da7835393f22_43.6059_2.2414.png
Sirven Christian,,https://www.google.com/maps/place/Sirven+Christian/data=!4m7!3m6!1s0x12ae04ce0805ba53:0x8233a5effea6c21!8m2!3d43.618236!4d2.352395!16s%2Fg%2F1vm6b9_j!19sChIJU7oFCM4ErhIRIWzq_146Iwg?authuser=0&amp;hl=en&amp;rclk=1,43.6182,2.3524,"La Sigarié, 81490 Saint-Salvy-de-la-Balme, France",,#ERROR!,,,,,Quarry,d7adbcbc-daa7-4eaa-9f64-acd784eb58e4,data/images/train/d7adbcbc-daa7-4eaa-9f64-acd784eb58e4_43.6182_2.3524.png
Carrière de l'Hermie,,https://www.google.com/maps/place/Carri%C3%A8re+de+l%27Hermie/data=!4m7!3m6!1s0x12ad696030ef6119:0xdaaa4214cfd15f26!8m2!3d44.6184945!4d2.2306575!16s%2Fg%2F1tfh6q15!19sChIJGWHvMGBprRIRJl_RzxRCqto?authuser=0&amp;hl=en&amp;rclk=1,44.6185,2.2307,"L'Hermie, 12300 Saint-Santin, France",,#ERROR!,,,,,Quarry,c0826eca-5495-4034-a588-6551b6a03095,data/images/train/c0826eca-5495-4034-a588-6551b6a03095_44.6185_2.2307.png
Imerys Ceramics France,,https://www.google.com/maps/place/Imerys+Ceramics+France/data=!4m7!3m6!1s0x12afe618b54cbb1b:0xd4cf3d0fffef4534!8m2!3d42.7810032!4d2.3074694!16s%2Fg%2F1td07303!19sChIJG7tMtRjmrxIRNEXv_w89z9Q?authuser=0&amp;hl=en&amp;rclk=1,42.781,2.3075,"Rte de la Boulzane, 11140 Salvezines, France",,#ERROR!,,,,,Quarry,48486bbf-21c8-4226-8330-da9944d2473f,data/images/train/48486bbf-21c8-4226-8330-da9944d2473f_42.781_2.3075.png
Carrières de Cassagnes Goutrens,,https://www.google.com/maps/place/Carri%C3%A8res+de+Cassagnes+Goutrens/data=!4m7!3m6!1s0x12ad795a8ebf5b7f:0xe0df6bf6a815a2db!8m2!3d44.4480928!4d2.3884144!16s%2Fg%2F1tkgtbkp!19sChIJf1u_jlp5rRIR26IVqPZr3-A?authuser=0&amp;hl=en&amp;rclk=1,44.4481,2.3884,"Les Carrières, 12390 Goutrens, France",,#ERROR!,,,,,Quarry,0c41e047-638b-4a83-bdaf-30e9c00a84c0,data/images/train/0c41e047-638b-4a83-bdaf-30e9c00a84c0_44.4481_2.3884.png
Carrière du roc de Buffens,,https://www.google.com/maps/place/Carri%C3%A8re+du+roc+de+Buffens/data=!4m7!3m6!1s0x12b1d99b944d7af1:0xaea677adc8a5af94!8m2!3d43.3343982!4d2.5261783!16s%2Fg%2F121kv_m1!19sChIJ8XpNlJvZsRIRlK-lyK13pq4?authuser=0&amp;hl=en&amp;rclk=1,43.3344,2.5262,"D620, 11160 Caunes-Minervois, France",,,,,,,Quarry,c40738fb-fdd7-4923-8db9-273f5bd68c09,data/images/train/c40738fb-fdd7-4923-8db9-273f5bd68c09_43.3344_2.5262.png
Carrière MAZARS TP,,https://www.google.com/maps/place/Carri%C3%A8re+MAZARS+TP/data=!4m7!3m6!1s0x12b27fa989b91163:0xf4b4e91f9aaf436a!8m2!3d44.3359009!4d2.4949522!16s%2Fg%2F11csq5_465!19sChIJYxG5ial_shIRakOvmh_ptPQ?authuser=0&amp;hl=en&amp;rclk=1,44.3359,2.495,"12510 Druelle Balsac, France",,#ERROR!,,,,,Quarry,3e3bc2c6-1f39-42c1-bc04-87b34e101abc,data/images/train/3e3bc2c6-1f39-42c1-bc04-87b34e101abc_44.3359_2.495.png
Bournet Serge,,https://www.google.com/maps/place/Bournet+Serge/data=!4m7!3m6!1s0x12b01f28a3b0ee5f:0x44f82ffb27a8effd!8m2!3d42.80077!4d2.530108!16s%2Fg%2F1vttzsz0!19sChIJX-6woygfsBIR_e-oJ_sv-EQ?authuser=0&amp;hl=en&amp;rclk=1,42.8008,2.5301,"Chemin La Carrière, 66220 Lesquerde, France",,#ERROR!,,,,,Quarry,fa82e509-ce47-4649-9104-449d69718b72,data/images/train/fa82e509-ce47-4649-9104-449d69718b72_42.8008_2.5301.png
La Lauze de l'Aveyron,,https://www.google.com/maps/place/La+Lauze+de+l%27Aveyron/data=!4m7!3m6!1s0x12b270956ebeb7b5:0x6471c68521828ee9!8m2!3d44.2018801!4d2.5602925!16s%2Fg%2F1td352_l!19sChIJtbe-bpVwshIR6Y6CIYXGcWQ?authuser=0&amp;hl=en&amp;rclk=1,44.2019,2.5603,"Carrière de La Barthe, 12120 Comps-la-Grand-Ville, France",lauze-aveyron.com,#ERROR!,,,,,Quarry,708fc41c-a171-4772-93a9-edc960dc4283,data/images/train/708fc41c-a171-4772-93a9-edc960dc4283_44.2019_2.5603.png
Carrière La Vialatelle,,https://www.google.com/maps/place/Carri%C3%A8re+La+Vialatelle/data=!4m7!3m6!1s0x12b2877d07e06d47:0x7867d2f4f1af9133!8m2!3d44.3859614!4d2.5998663!16s%2Fg%2F11rgp15fcs!19sChIJR23gB32HshIRM5Gv8fTSZ3g?authuser=0&amp;hl=en&amp;rclk=1,44.386,2.5999,"Vialatelle, 12850 Onet-le-Château, France",,,,,,,Quarry,f3ea8015-e220-47a8-a427-2de9754d28b8,data/images/train/f3ea8015-e220-47a8-a427-2de9754d28b8_44.386_2.5999.png
Palat Carrières et T.P,,https://www.google.com/maps/place/Palat+Carri%C3%A8res+et+T.P/data=!4m7!3m6!1s0x12b2a34dd824ff51:0x489eafed37facf06!8m2!3d44.737508!4d2.597243!16s%2Fg%2F1tf04vfl!19sChIJUf8k2E2jshIRBs_6N-2vnkg?authuser=0&amp;hl=en&amp;rclk=1,44.7375,2.5972,"La Capelle, 12140 Saint-Hippolyte, France",carriere-palat.com,#ERROR!,,,,,Quarry,d897fcaa-5e9e-4cc0-96f3-f3ebf602a7a9,data/images/train/d897fcaa-5e9e-4cc0-96f3-f3ebf602a7a9_44.7375_2.5972.png
Palat Carrière,,https://www.google.com/maps/place/Palat+Carri%C3%A8re/data=!4m7!3m6!1s0x12b2a34dd824ff51:0xd0753d2ed8659bec!8m2!3d44.7347084!4d2.6139447!16s%2Fg%2F113ffl8n5!19sChIJUf8k2E2jshIR7Jtl2C49ddA?authuser=0&amp;hl=en&amp;rclk=1,44.7347,2.6139,"Sergeant, 12140 Saint-Hippolyte, France",,#ERROR!,,,,,Quarry,c227ab8e-0a14-47c7-ae67-ad3411b433e9,data/images/train/c227ab8e-0a14-47c7-ae67-ad3411b433e9_44.7347_2.6139.png
EPC France Carrière Camp Grand,,https://www.google.com/maps/place/EPC+France+Carri%C3%A8re+Camp+Grand/data=!4m7!3m6!1s0x12b26fd093c91437:0x6828d45f910f74!8m2!3d44.1975639!4d2.6653735!16s%2Fg%2F11k4bc81jy!19sChIJNxTJk9BvshIRdA-RX9QoaAA?authuser=0&amp;hl=en&amp;rclk=1,44.1976,2.6654,"5MX8+24, 12120 Arvieu, France",,#ERROR!,,,,,Quarry,22eeaba5-404a-43c9-969a-204f5934f043,data/images/train/22eeaba5-404a-43c9-969a-204f5934f043_44.1976_2.6654.png
Pedreira (Cantière) de Salses,,https://www.google.com/maps/place/Pedreira+%28Canti%C3%A8re%29+de+Salses/data=!4m7!3m6!1s0x12b043836b248501:0x724da7e1af439eb4!8m2!3d42.8407342!4d2.9060407!16s%2Fg%2F11q4mpmh6l!19sChIJAYUka4NDsBIRtJ5Dr-GnTXI?authuser=0&amp;hl=en&amp;rclk=1,42.8407,2.906,"RWR4+7C, 66600 Salses-le-Château, France",,,,,,,Quarry,333d2cb1-774f-49e1-85ee-c43c596bb428,data/images/train/333d2cb1-774f-49e1-85ee-c43c596bb428_42.8407_2.906.png
Carriere Omya,,https://www.google.com/maps/place/Carriere+Omya/data=!4m7!3m6!1s0x12b04166d02fcb27:0xe4016b884081c78b!8m2!3d42.8347226!4d2.7972181!16s%2Fg%2F11sx0mg0md!19sChIJJ8sv0GZBsBIRi8eBQIhrAeQ?authuser=0&amp;hl=en&amp;rclk=1,42.8347,2.7972,"RQMW+VV, 66600 Vingrau, France",,,,,,,Quarry,61ea4993-0ec0-49fa-be3c-4cc5cdc268db,data/images/train/61ea4993-0ec0-49fa-be3c-4cc5cdc268db_42.8347_2.7972.png
GALIBERT ET FILS CARRIERES TP,,https://www.google.com/maps/place/GALIBERT+ET+FILS+CARRIERES+TP/data=!4m7!3m6!1s0x12b292c017a56d4d:0x41cab6017c1a8aec!8m2!3d44.5298741!4d2.7551648!16s%2Fg%2F1tfx_c_z!19sChIJTW2lF8CSshIR7IoafAG2ykE?authuser=0&amp;hl=en&amp;rclk=1,44.5299,2.7552,"18 Rte d'Alayrac, 12500 Espalion, France",carriere-galibert.fr,#ERROR!,,,,,Quarry,2e980eff-0b51-4077-bd59-a704e08dc29c,data/images/train/2e980eff-0b51-4077-bd59-a704e08dc29c_44.5299_2.7552.png
Valormat Environnement Narbonne,,https://www.google.com/maps/place/Valormat+Environnement+Narbonne/data=!4m7!3m6!1s0x12b1acf7fd4d69c7:0x620b22702bc6749a!8m2!3d43.1745158!4d2.9882849!16s%2Fg%2F1tkn4w7x!19sChIJx2lN_fessRIRmnTGK3AiC2I?authuser=0&amp;hl=en&amp;rclk=1,43.1745,2.9883,"62 Rue du Rec de Veyret, 11100 Narbonne, France",,#ERROR!,,,,,Quarry,76186516-0f94-4bd1-844a-798cc60cb3f5,data/images/train/76186516-0f94-4bd1-844a-798cc60cb3f5_43.1745_2.9883.png
Galibert René,,https://www.google.com/maps/place/Galibert+Ren%C3%A9/data=!4m7!3m6!1s0x12b2e55350c75a65:0x8479779b3b3132c2!8m2!3d44.512905!4d2.942938!16s%2Fg%2F1tdsm43t!19sChIJZVrHUFPlshIRwjIxO5t3eYQ?authuser=0&amp;hl=en&amp;rclk=1,44.5129,2.9429,"12470 Prades-d'Aubrac, France",,#ERROR!,,,,,Quarry,68796607-6a84-453e-a39c-05904097f916,data/images/train/68796607-6a84-453e-a39c-05904097f916_44.5129_2.9429.png
Societe Des Carrieres Du Cap Romarin,,https://www.google.com/maps/place/Societe+Des+Carrieres+Du+Cap+Romarin/data=!4m7!3m6!1s0x12b0573e1d1e40b1:0x1d5b7b15fc957a66!8m2!3d42.9828704!4d3.0179096!16s%2Fg%2F1tlx8f97!19sChIJsUAeHT5XsBIRZnqV_BV7Wx0?authuser=0&amp;hl=en&amp;rclk=1,42.9829,3.0179,"11480 La Palme, France",,#ERROR!,,,,,Quarry,177a35f6-2709-44a6-b070-49b7a04775c0,data/images/train/177a35f6-2709-44a6-b070-49b7a04775c0_42.9829_3.0179.png
Carrière de Marbre,,https://www.google.com/maps/place/Carri%C3%A8re+de+Marbre/data=!4m7!3m6!1s0x12b19e2584b67a13:0xa287aafc8f7c457f!8m2!3d43.4907901!4d3.090568!16s%2Fg%2F11c1s2r36r!19sChIJE3q2hCWesRIRf0V8j_yqh6I?authuser=0&amp;hl=en&amp;rclk=1,43.4908,3.0906,"Unnamed Road,, 34490 Causses-et-Veyran, France",,,,,,,Quarry,f3119107-8d20-4a37-974b-ca2ef65f2173,data/images/train/f3119107-8d20-4a37-974b-ca2ef65f2173_43.4908_3.0906.png
Delcros Daniel,,https://www.google.com/maps/place/Delcros+Daniel/data=!4m7!3m6!1s0x12b3298f820ec371:0x936ffd683e637f52!8m2!3d44.83733!4d3.202222!16s%2Fg%2F1td1xj5r!19sChIJccMOgo8psxIRUn9jPmj9b5M?authuser=0&amp;hl=en&amp;rclk=1,44.8373,3.2022,"Place Eglise, 48310 Albaret-le-Comtal, France",,#ERROR!,,,,,Quarry,f22def47-502e-4419-86fb-3b4186d8fa98,data/images/train/f22def47-502e-4419-86fb-3b4186d8fa98_44.8373_3.2022.png
Carrière,,https://www.google.com/maps/place/Carri%C3%A8re/data=!4m7!3m6!1s0x12b32f0ff197d921:0x8072ce6778018e7a!8m2!3d44.8685235!4d3.2577791!16s%2Fg%2F11fn0zq7hl!19sChIJIdmX8Q8vsxIReo4BeGfOcoA?authuser=0&amp;hl=en&amp;rclk=1,44.8685,3.2578,"48200 Albaret-Sainte-Marie, France",,,,,,,Quarry,3cf59e6a-e5c3-42b9-a025-3c6de9ef67db,data/images/train/3cf59e6a-e5c3-42b9-a025-3c6de9ef67db_44.8685_3.2578.png
Barathieu Pierre,,https://www.google.com/maps/place/Barathieu+Pierre/data=!4m7!3m6!1s0x12b30e7702a60ed3:0x68f42088da8002fb!8m2!3d44.4757386!4d3.3356715!16s%2Fg%2F1tqbf6cf!19sChIJ0w6mAncOsxIR-wKA2ogg9Gg?authuser=0&amp;hl=en&amp;rclk=1,44.4757,3.3357,"Qur des Plaines, 48230 Chanac, France",,#ERROR!,,,,,Quarry,17bc4ea4-fb2c-4338-be5e-b305b92f9d25,data/images/train/17bc4ea4-fb2c-4338-be5e-b305b92f9d25_44.4757_3.3357.png
Rabier Raymond,,https://www.google.com/maps/place/Rabier+Raymond/data=!4m7!3m6!1s0x12b30deaac601ac7:0x597a2c09d470b280!8m2!3d44.482474!4d3.358885!16s%2Fg%2F11b6d60tgc!19sChIJxxpgrOoNsxIRgLJw1Akselk?authuser=0&amp;hl=en&amp;rclk=1,44.4825,3.3589,"48230 Esclanèdes, France",,#ERROR!,,,,,Quarry,1bacac7f-4284-4ba1-b78d-40f2786e384b,data/images/train/1bacac7f-4284-4ba1-b78d-40f2786e384b_44.4825_3.3589.png
Société Exploitation Sables et Minéraux SAMIN,,https://www.google.com/maps/place/Soci%C3%A9t%C3%A9+Exploitation+Sables+et+Min%C3%A9raux+SAMIN/data=!4m7!3m6!1s0x12b30eb6bdd96b8b:0x1b802596278bcd9b!8m2!3d44.430294!4d3.3295345!16s%2Fg%2F1td8n8g8!19sChIJi2vZvbYOsxIRm82LJ5YlgBs?authuser=0&amp;hl=en&amp;rclk=1,44.4303,3.3295,"Cros Haut, 48230 Chanac, France",samin.fr,#ERROR!,,,,,Quarry,0b0c80be-2fb1-4fb1-abab-792fbcff8fb6,data/images/train/0b0c80be-2fb1-4fb1-abab-792fbcff8fb6_44.4303_3.3295.png
